1,CW,EO 
3,IA,IA 
5,MC,PP 
7,CE,CE 
8,ED,PP 
9,CC,ED 
10,ED,ED 
11,MC,CW 
13,MT,CT 
14,CE,CE 
15,IA,ED 
16,MT,CT 
17,IA,CC 
18,PP,CW 
19,CW,CW 
20,MC,MC 
21,EO,PP 
22,MC,CW 
23,CE,CE 
25,MC,CE 
27,CE,PP 
28,MT,CW 
29,MT,CT 
30,CW,CE 
31,MT,CT 
32,CE,CW 
33,PP,CE 
34,ED,ED 
35,CW,CE 
36,EO,IA 
38,CW,CW 
39,CE,PP 
40,IA,CT 
41,CE,CE 
42,CC,EO 
43,MC,PP 
44,EO,ED 
45,CE,CE 
46,IA,IA 
47,IA,PP 
48,CE,CE 
51,CE,PP 
52,CW,CW 
53,CE,CE 
54,CE,CW 
55,MC,CW 
56,MT,IA 
58,MT,PP 
59,CC,EO 
61,ED,IA 
62,CC,PP 
63,MC,MC 
64,ED,CE 
67,EO,PP 
68,MT,PP 
69,ED,ED 
70,EO,CE 
71,CE,PP 
72,MC,IA 
73,CE,CE 
74,ED,ED 
75,EO,ED 
76,CE,CE 
77,MT,CT 
78,PP,CT 
79,CE,CE 
80,CE,IA 
81,IA,PP 
82,MC,MC 
83,CE,PP 
84,MC,CW 
85,PP,PP 
87,ED,ED 
88,CE,CE 
89,CE,CE 
91,EO,ED 
92,CW,CW 
93,EO,PP 
94,IA,IA 
95,EO,CE 
96,IA,CW 
97,CE,CE 
98,MC,PP 
99,CE,CE 
100,CE,CE 
102,ED,CW 
103,CE,CE 
104,IA,IA 
105,CE,CE 
106,CC,PP 
107,CW,CT 
108,IA,MC 
109,ED,ED 
110,CC,CT 
111,CC,PP 
112,EO,PP 
113,MT,CT 
114,EO,PP 
115,PP,CT 
117,CE,IA 
119,CW,CW 
120,MC,MC 
122,EO,PP 
123,ED,ED 
124,MT,CT 
125,MT,MC 
126,IA,CC 
127,MC,PP 
128,ED,MC 
129,CE,CE 
130,ED,ED 
131,EO,PP 
132,CW,CW 
133,PP,CW 
134,PP,PP 
135,MC,PP 
137,EO,EO 
139,CE,CT 
143,MC,ED 
144,EO,PP 
145,CE,PP 
146,MC,MC 
147,MC,MC 
148,ED,IA 
150,CC,CC 
151,EO,MC 
152,CE,CE 
153,MT,CT 
154,ED,ED 
155,PP,PP 
156,ED,PP 
157,EO,CW 
158,PP,CW
160,MT,CW 
161,CW,CW 
162,EO,PP 
163,IA,IA 
164,CW,CW 
165,CE,PP 
166,CE,CW 
167,CC,PP 
168,EO,PP 
169,MC,ED 
170,MT,CT 
171,CE,PP 
172,CW,PP 
173,IA,ED 
174,EO,PP 
175,EO,CC 
176,CW,CE 
177,CC,ED 
178,ED,ED 
180,MT,PP 
181,CE,CE 
182,CW,CW 
185,PP,EO 
186,CW,IA 
189,CE,CT 
190,CC,MC 
191,CW,CW 
192,ED,EO 
193,PP,CE 
194,ED,ED 
195,MC,CW 
196,CW,CW 
197,EO,EO 
198,CE,CE 
199,PP,PP 
200,MC,PP 
201,IA,EO 
202,EO,PP 
203,CE,CE 
205,CC,CW 
206,CE,CE 
207,MC,MC 
208,PP,CE 
209,ED,IA 
210,ED,PP 
212,CW,PP 
213,MC,EO 
214,CW,PP 
215,CE,CE 
216,EO,PP 
217,EO,IA 
218,PP,CW 
219,MT,CT 
220,IA,CE 
222,MC,CW 
223,CE,CE 
226,CW,EO 
227,CW,CW 
228,IA,PP 
229,MC,CW 
230,ED,ED 
231,CC,CW 
232,CW,CW 
233,ED,IA 
234,EO,EO 
235,MT,CT 
236,PP,CW 
239,ED,PP 
240,CC,EO 
241,MT,CC 
243,MC,MC 
245,CC,EO 
246,ED,ED 
248,CC,EO 
249,MT,CT 
251,MT,CW 
252,MC,PP 
253,ED,ED 
254,IA,IA 
255,MT,CW 
256,MC,PP 
257,ED,IA 
258,ED,ED 
259,CW,CW 
260,IA,IA 
261,MC,MC 
262,ED,ED 
263,CW,CW 
264,MT,CT 
267,CC,CW 
268,CC,ED 
269,CE,CE 
270,MT,IA 
271,MC,PP 
272,CW,CW 
273,PP,CW 
275,CE,CE 
277,ED,ED 
278,EO,PP 
280,ED,ED 
282,ED,ED 
283,CE,PP 
285,ED,ED 
286,CE,MC 
287,IA,CT 
289,CC,ED 
290,MC,ED 
291,ED,ED 
292,ED,PP 
295,CC,CC 
296,CE,CT 
297,CC,PP 
298,CW,CW 
299,ED,ED 
300,ED,ED 
302,EO,PP 
303,CW,CW 
304,CC,IA 
305,ED,ED 
306,IA,IA 
307,CW,CW 
308,CC,PP 
